Year,ONI_CrossYear_annual_control,ONI_local_annual_control,SST_anomaly_annual_control,SeaIce_annual_control,AOD_annual_control,Snow_annual_control,Phase,CO2_Global_ppm_annual_control,CO2_RF_annual_control,CO2_RF_ref2000_annual_control,CO2_RF_ref278ppm_annual_control,CO2_CT2025_PBL_ppm_annual_control,CO2_RF_CT2025_annual_control,ONI_annual_control,ONI_Lag1_annual_control,AOD_annual_control_from_spatial,Snow_annual_control_from_spatial,SST_annual_control_from_spatial,SST_landfill_annual_control_from_spatial,SST_OceanRaw_annual_control_from_spatial,SST_landfill_method
2014,0.0049999999999999,0.205,0.1974801216920959,0.7796366819430268,0.1772377568410145,0.2906667357269066,P1,397.34,0.2407928083859035,0.3963119361835632,1.91086604652365,401.5604479360324,0.2506282422693017,0.205,-0.2341666666666666,0.1968676588666543,0.141814185931029,0.1573508232831955,0.1573508232831955,0.1884690821170807,nearest_valid_ocean_to_land_mask
2015,1.0616666666666663,1.5483333333333331,0.2667324463890798,0.7644283542596294,0.188682677587692,0.2873135860408918,P2,399.65,0.2718058314026954,0.4273249592003547,1.941879069540441,403.55045892000464,0.2771140971870362,1.5483333333333331,0.205,0.2144160088277091,0.1410844946428906,0.3156070411205292,0.3156070411205292,0.31040871143341064,nearest_valid_ocean_to_land_mask
2016,1.2191666666666665,0.4233333333333333,0.3007218435005803,0.7413002467405597,0.1760034595200233,0.2832381226460132,P2,403.09,0.3176590657206716,0.4731781935183317,1.9877323038584176,406.57349215707575,0.3170573874195881,0.4233333333333333,1.5483333333333331,0.1929965158744439,0.1368628598090593,0.46261003613471985,0.46261003613471985,0.535311758518219,nearest_valid_ocean_to_land_mask
2017,-0.0699999999999999,-0.115,0.2672640502035017,0.7552700697151118,0.1718957531152861,0.289131244606805,P2,405.22,0.3458549964316731,0.5013741242293336,2.01592823456942,408.919633099055,0.3478414832680954,-0.1149999999999999,0.4233333333333333,0.1884369817643324,0.1413576904952433,0.31027328968048096,0.31027328968048096,0.32095757126808167,nearest_valid_ocean_to_land_mask
2018,-0.3166666666666666,0.0941666666666666,0.2186588716109743,0.7875697443753277,0.1760146385374163,0.2893475898230359,P2,407.61,0.377316770355575,0.5328358981532348,2.0473900084933208,410.22952570304943,0.3646686336573481,0.0941666666666666,-0.1149999999999999,0.1880203893679954,0.1424435913284698,0.2102501541376114,0.2102501541376114,0.1938185840845108,nearest_valid_ocean_to_land_mask
2019,0.6641666666666668,0.5758333333333334,0.2841541783777193,0.7973453703927065,0.1832667282103872,0.2850852024625683,P2,410.07,0.4095079446721367,0.5650270724697968,2.079581182809884,413.56646912323833,0.4082209058132119,0.5750000000000001,0.0941666666666666,0.1984981174657464,0.1402007161118847,0.26346737146377563,0.26346737146377563,0.22730176150798798,nearest_valid_ocean_to_land_mask
2020,0.1483333333333334,-0.2716666666666666,0.3175760866406671,0.794304256159905,0.1822085873731576,0.2813840150331198,P3,412.44,0.4403392660934691,0.5958583938911293,2.110412504231216,415.8191545126908,0.4373485509101256,-0.2716666666666666,0.5750000000000001,0.1899155327592454,0.1361823344264509,0.4117567241191864,0.4117567241191864,0.4382558763027191,nearest_valid_ocean_to_land_mask
2021,-0.7066666666666667,-0.635,0.2553799747204827,0.792551591102867,0.1780816408431069,0.2895867563134244,P3,414.7,0.4695750184173404,0.625094146215001,2.139648256555087,418.79807896142927,0.4754413895224612,-0.635,-0.2716666666666666,0.1997089816731254,0.1385903144750662,0.34069690108299255,0.34069690108299255,0.4198472499847412,nearest_valid_ocean_to_land_mask
2022,-0.8533333333333334,-0.85,0.2946880558668789,0.7937793886053016,0.1778138078828409,0.2874430834768713,P3,417.08,0.5001913706967942,0.6557104984944541,2.17026460883454,420.66844983389257,0.4993764910443916,-0.85,-0.635,0.1851962497969741,0.1414489631286992,0.3291417062282562,0.3291417062282562,0.35938918590545654,nearest_valid_ocean_to_land_mask
2023,0.2016666666666667,0.9,0.4635306300891829,0.7670078306646758,0.184125083598468,0.2799542679300727,P3,419.36,0.5293579103441102,0.6848770381417699,2.1994311484818567,422.2096725202864,0.5189337160311065,0.9,-0.85,0.1991582191888874,0.137401368347749,0.6599317789077759,0.6599317789077759,0.546138346195221,nearest_valid_ocean_to_land_mask
2024,1.0041666666666669,0.4366666666666667,0.4924514335415521,0.7837672546126897,0.1792701663563696,0.2770652466375057,P3,422.79,0.572938273630028,0.7284574014276883,2.243011511767774,427.9005260602236,0.5902801812221269,0.4366666666666667,0.9,0.2007977555308326,0.1352949868729641,0.6627592444419861,0.6627592444419861,0.6373583674430847,nearest_valid_ocean_to_land_mask
