Year,StrictCommonPixels,SurfaceAlbedo_GLASS,T2M,Rn,SWabs_MODIS,VPD,SH,LH,GLASS_Albedo_main,AlbedoLoss_main,EvaporativeFraction,BowenRatio,HeatRetentionIndex,AlbedoLoss_main_z,HeatRetentionIndex_z,VPD_z,Period,T2M_z,Rn_z,SH_z,LH_z,EvaporativeFraction_z
2011,337735,0.2759712731036833,9.5632826805463,71.64222584358248,142.44669707215343,0.7848934503802528,28.950049298201577,42.16472252151497,0.2759712731036833,-0.0007877209761145,0.5929108881683118,0.6865940902001555,-1.1680775020623493,-1.2455624560184122,-1.6706942361843102,-1.5393488279122618,P1,-0.8301985230146083,-0.9761282181712958,-1.7370692629531725,0.8410371267677496,1.56152409192585
2012,337735,0.2748653653686708,9.581947401386362,72.10330050939166,143.3961487233856,0.8131063425055661,30.12741641595549,41.4391088782195,0.2748653653686708,0.0003181867588979,0.5790292138382237,0.7270285783532024,1.1362894586476704,-0.42474815706374824,0.4298770779999998,-0.3155245077740171,P1,-0.769961413449934,0.1270605880841651,1.1067431821303755,-1.0642199954764253,-1.2243345278892783
2013,337735,0.276878875071525,9.706721779395556,71.48724005392948,142.62042666680608,0.8166314837691756,29.77889316976165,41.219920404250544,0.276878875071525,-0.0016953229439561,0.5805719607029932,0.7224393661539164,0.4692399518244123,-1.919192497095413,-0.178179313653001,-0.1626102446362307,P1,-0.36727401493973244,-1.3469544659630397,0.2649201602527359,-1.6397472130278392,-0.9147267277627904
2014,337735,0.2750335864347651,9.655418495168762,71.8008274116135,142.92879029737853,0.8117301171790724,29.75479047241405,41.52705671362236,0.2750335864347651,0.0001499656928036,0.5825754852458033,0.7165157568861225,0.4867173257762828,-0.5496032892453229,-0.1622476191804942,-0.3752226775707273,P1,-0.5328463575147027,-0.5966506899507488,0.20670250694512368,-0.8332937424552678,-0.5126472678304442
2015,337735,0.2736787856100722,9.955563797840178,72.2274432830354,143.39175018235912,0.8353442815971938,30.19121362419381,41.41615815102183,0.2736787856100722,0.0015047665174965,0.578378414460347,0.7289718547554109,1.7791509912559256,0.45594161647959663,1.0158846529278165,0.6491171379390296,P2,0.4358199106425575,0.42409039348657096,1.2608389539707114,-1.1244821430505072,-1.354940895213316
2016,337735,0.2735294404750409,10.177897077348163,72.36246813487597,142.65429946351364,0.8359890911561286,29.891937791654698,42.04136028855811,0.2735294404750409,0.0016541116525278,0.5844492246369379,0.7110126215347515,1.3272670021454758,0.5667868691458434,0.6039647803342107,0.6770878123589723,P2,1.153361535420002,0.7471571680520296,0.5379681312224938,0.5171226371096607,-0.13661387949734408
2017,337735,0.2722316875583029,10.02027194547651,71.85312128568894,142.8372305738213,0.8332871149650495,29.37903847186723,41.94263511258024,0.2722316875583029,0.0029518645692658,0.5880769898496371,0.7004576224886572,0.4648881623838888,1.529990323507005,-0.1821462356840812,0.5598809637881281,P2,0.6446540963931681,-0.471529921464111,-0.7008888460889409,0.2578981222254341,0.5914280517672399
2018,337735,0.273940194824985,9.869093510957052,71.791394325001,142.60568675922326,0.8278386585563325,29.7097458169353,41.52440881044506,0.273940194824985,0.0012433573025837,0.5829283582805974,0.7154766718668395,0.7778186490271847,0.26192143316246563,0.103109027381358,0.32353676232931283,P2,0.15675224123024564,-0.6192207340911893,0.09790164958862688,-0.8402463906505905,-0.44183056645092506
2019,337735,0.2723295529113069,10.097168109167246,72.29146467831362,143.21407212525202,0.8455772911009891,30.393165949396508,41.1797827198675,0.2723295529113069,0.0028539992162618,0.5753540057453519,0.7380603767667063,2.3437729212142187,1.4573538109167135,1.5305720484910363,1.09300661383272,P2,0.8928229641214056,0.5772709776070093,1.7486345846323024,-1.7451374709809286,-1.9618975841662394
2020,337735,0.2719316442465131,10.239311956395309,72.1571371436161,143.12845812048675,0.8417545305784764,29.714347365700508,41.85807877196884,0.2719316442465131,0.0032519078810556,0.5848352645117122,0.7098832110182601,1.2347634818078732,1.752685068127829,0.5196421682696972,0.927182164615126,P3,1.3515672749949277,0.255872636646058,0.10901623011990838,0.03587697961142538,-0.05914105545902143
2021,337735,0.2721536161992664,9.960289532575116,72.07366720207246,143.7142027129023,0.8509609084922876,29.7431694419638,41.74529492940322,0.2721536161992664,0.0030299359283023,0.5839444908558323,0.7124915392803765,1.4259627976101767,1.587935562343104,0.6939320296128908,1.32653821578709,P3,0.45107138980698486,0.05615855127522679,0.17863307089516606,-0.26026163534941904,-0.23790691673257233
2022,337735,0.2731036375802236,9.949436274793571,72.31591309815956,143.51862530154986,0.8314561793908722,29.87180878656469,41.9756613534228,0.2731036375802236,0.0020799145473451,0.5842329767720074,0.7116459353684221,1.2164654939305175,0.8828214654663131,0.5029624340529637,0.4804582844565775,P3,0.4160444058128131,0.635767410190959,0.48934853388625943,0.3446157317517148,-0.18001181293161975
2023,337735,0.2728629386927431,10.3911749635221,73.17428463731903,144.9915819910265,0.8613458678655428,30.34342932495478,42.05596713895632,0.2728629386927431,0.0023206134348257,0.580888366381893,0.7215011659272424,2.9980321038887743,1.0614702643955845,2.126969278012324,1.7770190026623292,P3,1.841678468058282,2.6895472940783822,1.628500745805834,0.555476113524948,-0.8512285165988177
2024,337735,0.2747029184671521,10.603630870001949,73.15166057708433,143.75785346966836,0.8691659067269173,29.849542473167944,42.70211107362116,0.2747029184671521,0.0004806336604166,0.5885752975441455,0.6990179577235756,2.384824107920106,-0.30417865983897846,1.5679927139830645,2.1162381688671843,P3,2.527342605548052,2.6354159096112406,0.4355664822313827,2.2520681565356067,0.6914314629593312
