Latitude,T2M_mean_C,GLASS_albedo_mean,T2M_slope_C_per_year,GLASS_albedo_slope_per_year
71.75,-13.267249,0.53331,0.08211740162641525,-0.0023506167114877383
71.5,-13.102683,0.52846724,0.08125640899144797,-0.002223351057259377
71.25,-12.995225,0.52322,0.0824350640104507,-0.002103206422432097
71.0,-12.590749,0.516898,0.08240115627043675,-0.0020445089533424796
70.75,-12.056357,0.50445247,0.08034699355538116,-0.0019125241782955201
70.5,-11.984155,0.4966832,0.07728484527161446,-0.00184747185579581
70.25,-11.498468,0.4936921,0.07626223916211272,-0.001701023907966346
70.0,-11.300557,0.49115422,0.07585842934210466,-0.0013335653722978196
69.75,-10.686538,0.48223814,0.0747365592323159,-0.0009514735160003598
69.5,-10.538836,0.47946918,0.0733755294750181,-0.0009448822150947401
69.25,-10.234952,0.46716022,0.07322866615730544,-0.000924315480560843
69.0,-10.0892,0.4599001,0.07185343604639075,-0.0009303740872225811
68.75,-9.523032,0.4457816,0.07107852158979401,-0.0009038752657431571
68.5,-9.147055,0.4380389,0.07035544084382762,-0.0008631284765491308
68.25,-8.90774,0.42967817,0.06960915474537381,-0.000857726733452071
68.0,-8.778773,0.42619005,0.06877249265207305,-0.0009141135097096889
67.75,-8.6679735,0.423688,0.06901918133717957,-0.0009654991080091376
67.5,-8.476842,0.42418653,0.06839038524521027,-0.0008696015918414769
67.25,-8.202078,0.4180938,0.06732045785560696,-0.0008639224684754384
67.0,-7.9280148,0.41148484,0.06586578322023594,-0.000878023480320335
66.75,-7.6730223,0.40712768,0.06528444252867442,-0.0008731708642344034
66.5,-7.4322166,0.40091237,0.06444589737064346,-0.0008345345673580264
66.25,-7.15878,0.39872998,0.06415468847383617,-0.000757907718462785
66.0,-6.7961993,0.39512396,0.062218540892613576,-0.0007480684197196209
65.75,-6.629491,0.38840517,0.061488594032650626,-0.0007306740745441941
65.5,-6.4717083,0.38383037,0.06078548836619061,-0.0006915956908969716
65.25,-6.4723225,0.3822327,0.06005110986255447,-0.0006387063193752276
65.0,-6.2906847,0.377378,0.059629899530467455,-0.0006412906142481286
64.75,-6.157651,0.37351298,0.059335786390429725,-0.0006014801922169598
64.5,-6.004548,0.36953777,0.05845421641782014,-0.0006343304008045662
64.25,-5.6508355,0.3577522,0.05792311987364935,-0.0006310256842545072
64.0,-5.352239,0.35010302,0.05735848553567302,-0.0005591098775685312
63.75,-5.265547,0.35075888,0.057937331929398206,-0.0005906683416143515
63.5,-5.0620546,0.3452769,0.05814639128829515,-0.0005896389582686697
63.25,-4.8300133,0.33971217,0.05816123541214506,-0.0005972413325625877
63.0,-4.529918,0.33482757,0.0576955289545629,-0.0005779221461105739
62.75,-4.3085566,0.33400178,0.05781289864176466,-0.00059495294917445
62.5,-4.0497103,0.33043987,0.0574893401876221,-0.0005910543710066363
62.25,-3.9433334,0.33086,0.05686172977232739,-0.000634592018749403
62.0,-3.815535,0.3274066,0.05668389837949633,-0.0007006601325738407
61.75,-3.528584,0.32059947,0.05602419456060933,-0.0007593809740635616
61.5,-3.3233182,0.3184302,0.055758432444403754,-0.0009106767207515324
61.25,-3.0392365,0.31425765,0.055550319970966544,-0.0010032303811542034
61.0,-2.7616823,0.3060374,0.05447237402360042,-0.0010174465677572893
60.75,-2.4410832,0.30030662,0.05368481385789557,-0.0008951148586182407
60.5,-2.1556664,0.29870227,0.053288216204486046,-0.000949410858298184
60.25,-1.8398471,0.29063335,0.05278413705414331,-0.000991822589390181
60.0,-1.6053674,0.28391933,0.051853528438073004,-0.0010271091017343818
59.75,-1.4727505,0.2666667,0.051360739901199784,-0.00025689376187046316
59.5,-1.2217022,0.26180673,0.05058341525602498,4.190712937867905e-06
59.25,-0.9803209,0.2602629,0.04954055102849618,1.179010227751735e-05
59.0,-0.7853649,0.2579085,0.04871659770166801,7.610806411067053e-05
58.75,-0.8521765,0.25534293,0.04829818025591126,8.138117106648022e-05
58.5,-0.58272964,0.2571219,0.04723839837140571,8.91387346698129e-05
58.25,-0.5679019,0.25864732,0.04657738852641109,0.00012145346030271121
58.0,-0.5566397,0.2569403,0.04633221938359417,0.00010800145021796152
57.75,-0.44868597,0.25780737,0.04602029956506695,0.00014826163445169388
57.5,-0.14210156,0.25482482,0.04543645235563265,0.00015747374115354323
57.25,-0.09838004,0.25739348,0.04497145768488009,0.00013320315074698334
57.0,-0.08582542,0.26026568,0.04441337200217404,0.00018032999106038715
56.75,0.057034053,0.2564286,0.043690999018603106,0.00021401913552843293
56.5,0.17484668,0.25821766,0.04315365511544575,0.00020392079218800412
56.25,0.32063052,0.2604391,0.04254075504774548,0.00016543400457306122
56.0,0.39573887,0.2620567,0.041810629217710775,0.00012111443567071534
55.75,0.5995361,0.25709963,0.04129162089915379,9.530937784624472e-05
55.5,0.7935815,0.2516662,0.04174589830087125,7.510315199850104e-05
55.25,0.8277869,0.25251707,0.041037115789956204,8.48832485502147e-05
55.0,0.9619103,0.24617732,0.03992892215162756,6.484033174837714e-05
54.75,1.0919517,0.2499769,0.03967215895344107,1.3077972552149115e-05
54.5,1.2168353,0.2511517,0.03851916863381079,7.491949485990727e-06
54.25,1.5618234,0.2492278,0.03812443874050851,1.0006628610629657e-05
54.0,1.7815926,0.24658729,0.037684139361038455,1.6530545266918127e-05
53.75,1.9311175,0.24301724,0.03770867250789316,2.0503789977544355e-05
53.5,2.0463533,0.24593994,0.0372932746053865,1.2577216793312172e-05
53.25,2.2137554,0.24535745,0.037039160059173,2.0527852351359088e-05
53.0,2.319879,0.24475802,0.036698731097512226,2.1997188066257042e-05
52.75,2.4888165,0.24381547,0.03596482588765204,5.9128331063348624e-05
52.5,2.5543973,0.2437541,0.035878251089987254,9.008377687583811e-05
52.25,2.6622844,0.244857,0.03598617991665761,8.297406749986218e-05
52.0,2.7152665,0.24483004,0.03605915161409135,7.768054035069167e-05
51.75,2.801453,0.24536681,0.035702165725715884,6.661044101070722e-05
51.5,2.8214085,0.24587809,0.035701666910940066,6.347986262415193e-05
51.25,2.9685698,0.24449986,0.03566468193015238,0.00012743573294136086
51.0,3.0364554,0.24163719,0.03582779050404979,9.891393557373396e-05
50.75,3.1230052,0.2406425,0.03648082180731291,8.216129362598495e-05
50.5,3.2793312,0.24334437,0.03704385323682595,2.8001961080671066e-05
50.25,3.51082,0.24618082,0.036987614216658325,9.169238013619972e-07
50.0,3.6495352,0.24696513,0.03683325650204273,-3.3513326272586554e-05
49.75,3.833216,0.24740133,0.03671800439869122,-5.8764204290456474e-05
49.5,4.0579143,0.24526596,0.03681165792195737,-5.681623422279139e-05
49.25,4.315458,0.24165574,0.037588789396334525,-5.070550535648361e-05
49.0,4.428954,0.24442996,0.03806965435411673,-4.610976766038734e-05
48.75,4.636931,0.24402618,0.039201459324292004,-6.206783663130072e-05
48.5,4.968235,0.24130866,0.040264397946837456,-7.80067768046356e-05
48.25,5.209536,0.24128942,0.04110750736282703,-6.576328970759767e-05
48.0,5.5032988,0.23899408,0.04209033063999236,-6.652355872074162e-05
47.75,5.702646,0.23872195,0.04331066159952332,-7.441538824200654e-05
47.5,5.831053,0.2361945,0.04324011723817622,-4.5738354404323964e-05
47.25,5.941704,0.23564863,0.04335838636806241,9.576344994362538e-07
47.0,6.032058,0.23678088,0.04302558440260986,-5.1965821963874705e-05
46.75,6.197954,0.23222017,0.042681717406195384,-8.862966652831714e-05
46.5,6.3876333,0.22876063,0.04174253884250524,-0.00010565821033281762
46.25,6.7835636,0.22604167,0.041888661141709464,-7.341089124726093e-05
46.0,7.1166825,0.22545366,0.04252961047998379,-7.058200965494305e-05
45.75,7.3275776,0.2238858,0.04205887099584263,-5.653597224491297e-05
45.5,7.424271,0.22309236,0.041021932890272526,-5.11797762721959e-05
45.25,7.6872125,0.22371513,0.04043285159208003,-0.00011421469237775042
45.0,7.8639336,0.2220911,0.03978600353890547,-0.00013589417826136255
44.75,8.054311,0.2206308,0.03965440557927276,-0.00012354246825679193
44.5,8.262206,0.22044784,0.03945855570634397,-0.00015444892680372161
44.25,8.378655,0.22154914,0.03951189570097268,-0.0001674394893680124
44.0,8.50168,0.22021925,0.040111730285697346,-0.00010826517488664113
43.75,8.493452,0.21819304,0.03974712006842106,-7.799604649026677e-05
43.5,8.456617,0.21726115,0.03942433002159947,-8.640319597971471e-05
43.25,8.546417,0.21809182,0.03964258452867558,-0.00012654492177642526
43.0,8.469603,0.22006162,0.0398832437354502,-0.00013858662300569277
42.75,8.450072,0.2181266,0.039546503890830496,-0.00012636648165980673
42.5,8.480726,0.21544719,0.039302022501822215,-0.00011815785043021029
42.25,8.647893,0.21562621,0.03951570951032822,-0.00015946043177632598
42.0,8.815451,0.21785055,0.04045583374180615,-0.00017811713531819072
41.75,9.244165,0.21304007,0.040664592237548244,-0.00018913469198895784
41.5,9.691073,0.21075529,0.042027301972775245,-0.00018292007300861238
41.25,10.049172,0.20653568,0.043255659354210635,-0.0001463792524588454
41.0,10.391888,0.20100003,0.04429131321328405,-0.00012112993253211576
40.75,10.645931,0.20075417,0.04520847896412546,-0.0001034363018932627
40.5,10.924483,0.20655325,0.04513500655036428,-0.00015097845426475455
40.25,11.262953,0.20619306,0.045158284761088255,-0.0002002677044380237
40.0,11.295907,0.20635901,0.04510134399647993,-0.00020834735154390833
