Region,DisplayRegion,Year,T2M_C,GLASS_Albedo,ValidPixels,T2M_z,GLASS_z
II MidLat Arid,Mid-latitude arid,2021,13.481546771305434,0.22145941287140286,68415,1.36199364792795,-1.2427490693573329
II MidLat Arid,Mid-latitude arid,2022,13.293909421363761,0.2248378242826957,68415,0.840100019905162,0.31172225107897744
II MidLat Arid,Mid-latitude arid,2023,13.64459758176942,0.22547459222847327,68415,1.815502392597162,0.6047112891149349
II MidLat Arid,Mid-latitude arid,2024,13.884350100302045,0.22585487223403036,68415,2.482348901373204,0.7796853495262601
SiberianTaiga,Siberian taiga,2001,-4.354183419226244,0.2714476065461085,26787,-1.3338461798503087,0.9584801465468056
SiberianTaiga,Siberian taiga,2002,-3.858610700440867,0.2725155943363818,26787,-0.6930768525639992,1.1583026457425756
SiberianTaiga,Siberian taiga,2003,-3.3332268819458926,0.2693484164983679,26787,-0.013762146199111121,0.5657177896671614
SiberianTaiga,Siberian taiga,2004,-4.260872719715315,0.279245074960001,26787,-1.2131966124149247,2.417400969476231
SiberianTaiga,Siberian taiga,2005,-3.0204304675224036,0.2674576914231582,26787,0.39067970552136533,0.21195961634212915
SiberianTaiga,Siberian taiga,2006,-4.503490243184954,0.27391962252916324,26787,-1.5268980358559492,1.4209989283949465
SiberianTaiga,Siberian taiga,2007,-2.645518394421766,0.26378165634703366,26787,0.8754363270339619,-0.47583337411383037
SiberianTaiga,Siberian taiga,2008,-2.8886343773682497,0.2654543787889025,26787,0.5610904017235853,-0.16286389839580528
SiberianTaiga,Siberian taiga,2009,-4.480550658851463,0.2680769862759071,26787,-1.4972374402169781,0.32783083354368514
SiberianTaiga,Siberian taiga,2010,-4.665520507112894,0.2656020026159832,26787,-1.7364011406103763,-0.1352432061587096
SiberianTaiga,Siberian taiga,2011,-2.9005263615761874,0.2619856697031992,26787,0.545714214875173,-0.8118658109653719
SiberianTaiga,Siberian taiga,2012,-3.835308447439868,0.2639731908330616,26787,-0.6629473308738192,-0.43999691602989904
SiberianTaiga,Siberian taiga,2013,-3.3945307801133544,0.26731278055218977,26787,-0.09302731980485414,0.18484652323257852
SiberianTaiga,Siberian taiga,2014,-3.644750330577232,0.2672424514870251,26787,-0.41655806907125764,0.17168782451401557
SiberianTaiga,Siberian taiga,2015,-2.654690720491077,0.26885391128363095,26787,0.8635766241441656,0.473194945516678
SiberianTaiga,Siberian taiga,2016,-3.1553495000593204,0.2702193608931256,26787,0.21623108387671708,0.7286731035818458
SiberianTaiga,Siberian taiga,2017,-2.8497475510200143,0.2632615423048495,26787,0.6113705818362635,-0.5731476774444506
SiberianTaiga,Siberian taiga,2018,-3.375562377849248,0.2631299351217378,26787,-0.06850141291422181,-0.5977716258462953
SiberianTaiga,Siberian taiga,2019,-2.816875193400083,0.2607012824130931,26787,0.6538741291059036,-1.0521770585111991
SiberianTaiga,Siberian taiga,2020,-1.3782475670903584,0.2538545520047704,26787,2.5140016570806814,-2.3332130347376934
SiberianTaiga,Siberian taiga,2021,-3.7242770732451778,0.2579384164467592,26787,-0.5193851527039226,-1.5691144124434073
SiberianTaiga,Siberian taiga,2022,-2.750527845375995,0.26076977913894916,26787,0.7396604202980895,-1.0393611938805885
