Year,T2M,T2M_ValidPixels,Rn,Rn_ValidPixels,LH,LH_ValidPixels,SH,SH_ValidPixels,SM,SM_ValidPixels,VPD,VPD_ValidPixels,SWdown,SWdown_ValidPixels,LWdown,LWdown_ValidPixels,SWabs_MODIS,SWabs_MODIS_ValidPixels,SurfaceAlbedo_GLASS,SurfaceAlbedo_GLASS_ValidPixels,AlbedoLoss,AlbedoLoss_ValidPixels,GLASS_Albedo_R1_global,MODIS_Albedo_R1_global,T2M_R1_global,GLASS_Albedo_adjusted_R1_global,GLASS_Albedo_R1_was_adjusted,GLASS_Albedo_main,AlbedoLoss_main,EvaporativeFraction,BowenRatio,HeatRetentionIndex
2011,9.599344405802052,342128,71.93889919369818,342128,42.56090206220549,342128,28.770160378379845,342128,0.2446980848923377,340155,0.7800111420271618,342128,189.60014564828407,342128,305.55105980250113,342128,142.5615947315236,342123,0.27446553954189085,342128,0.5033432224581313,342123,0.2261330360711063,0.2241303295991485,11.241500282168348,0.2261330360711063,False,0.2261330360711063,0.0011418390111388454,0.5966671546166338,0.6759762830292085,-1.1741793365493312
2012,9.62231421485503,342128,72.41962092491104,342128,41.88283104034288,342128,29.948132721908433,342128,0.2425731737652104,340488,0.8080687115437227,342128,190.49913280416405,342128,305.8009841641122,342128,143.5141920524023,342123,0.26832332165989814,342128,0.5073674101060475,342123,0.2211719865804705,0.2231315401210993,11.280119157077571,0.2271932728973101,True,0.2271932728973101,8.160218493505345e-05,0.5830748864649535,0.7150455682678527,1.1193894399027051
2013,9.739296065243149,342128,71.79391273793125,342128,41.63844971825959,342128,29.6050448976228,342128,0.24380303228574163,342108,0.8114386321943134,342128,189.76577625178928,342128,306.3550265862228,342128,142.73943264761076,342123,0.27539654970954863,342128,0.5016895782641841,342123,0.2282535097235138,0.2254246516296832,11.337903161557705,0.2282535097235138,False,0.2282535097235138,-0.0009786346412686553,0.5844526569444431,0.7110025732932171,0.4718563978901138
2014,9.686281519249182,342128,72.12234437748637,342128,41.90392144858571,342128,29.577771276451845,342128,0.2458901107988291,340400,0.8065738911586918,342128,189.84361254821323,342128,306.2657558468773,342128,143.04122839022745,342123,0.2735873891830063,342128,0.5081168322195265,342123,0.2266585730760947,0.2235662298034202,11.345329217573829,0.2266585730760947,False,0.2266585730760947,0.0006163020061504543,0.5862189303458984,0.7058473349025933,0.5240858223881955
2015,9.988817764862896,342128,72.56158465876162,342128,41.798873842209936,342128,29.997329204711335,342128,0.24137324657746226,339973,0.8300495290268634,342128,190.1951383832992,342128,307.79104706764076,342128,143.52179395016643,342123,0.2721687971803406,342128,0.5109690464180625,342123,0.2249293534442046,0.222223063971423,11.542731659822898,0.2249293534442046,False,0.2249293534442046,0.002345521638040554,0.5821878047630589,0.7176587895154966,1.810905755112445
2016,10.214673474262353,342128,72.69898210472581,342128,42.43816890034442,342128,29.713502004144498,342128,0.2422514601577276,342125,0.8307029448196429,342128,189.14531503907764,342128,309.5775727377972,342128,142.77928265979043,342123,0.27199004263678844,342128,0.5144827763207349,342123,0.2244186870359931,0.2208241729473245,11.825324394181337,0.2244186870359931,False,0.2244186870359931,0.0028561880462520395,0.5881799876335799,0.7001598507682868,1.3553603252339328
2017,10.054792014007731,342128,72.17917718097618,342128,42.342577897502444,342128,29.207229457403418,342128,0.24350639934050677,342127,0.8279100417399321,342128,189.79428458087352,342128,308.091335571533,342128,142.94405739711877,342123,0.2707452186538852,342128,0.5053376503964595,342123,0.2242007684681106,0.2226193426034413,11.663711926032382,0.2242007684681106,False,0.2242007684681106,0.003074106614134542,0.5917916408561678,0.6897839221812282,0.49015068302874387
2018,9.900949488260586,342128,72.12417438619482,342128,41.91565218910248,342128,29.53588595539229,342128,0.2441693413614011,340063,0.8225089204726457,342128,189.81167657829505,342128,307.62044082308756,342128,142.71700627766836,342123,0.27251059426814744,342128,0.49968522274008875,342123,0.2258585235379953,0.223933030079795,11.537034197342436,0.2258585235379953,False,0.2258585235379953,0.0014163515442498498,0.5866305089799108,0.7046505162830612,0.8189947926685042
2019,10.128052759701001,342128,72.62806633742794,342128,41.56884378144066,342128,30.21052335422747,342128,0.24285855134328,342123,0.8400302693316599,342128,190.36326815579235,342128,308.6556845795772,342128,143.32660047762394,342123,0.27087402219608214,342128,0.5050497979564242,342123,0.2241844103764939,0.2225451190030644,11.717022020522394,0.2241844103764939,False,0.2241844103764939,0.00309046470575125,0.5791196751968093,0.726758807944416,2.3782305648204702
2020,10.27219667033088,342128,72.49209957446332,342128,42.255642006088046,342128,29.5237691570447,342128,0.24220566074755015,342113,0.8363420520308696,342128,190.14930186564257,342128,308.66795740756055,342128,143.24384749830767,342123,0.27044850194786035,342128,0.5081586482460885,342123,0.223551588079083,0.2215899498883565,11.84232361569203,0.223551588079083,False,0.223551588079083,0.003723287003162129,0.5886874985649274,0.6986941330294075,1.2559471610338826
2021,9.997024887263985,342128,72.40996254242312,342128,42.151373365137054,342128,29.55829255372262,342128,0.24432156273839953,339705,0.845476174223729,342128,190.66193193794433,342128,307.0737851835639,342128,143.83004333474173,342123,0.27069024958101745,342128,0.5093225780321375,342123,0.2245321822997482,0.2217209889281065,11.590692443463931,0.2245321822997482,False,0.2245321822997482,0.002742692782496947,0.5878060206392793,0.701241506360264,1.4488131421565964
2022,9.98215753885718,342128,72.64536410742743,342128,42.376036192145385,342128,29.69380679281665,342128,0.24614821930726277,339828,0.8261322873327701,342128,190.62655336411518,342128,306.99388080455395,342128,143.6220454577598,342125,0.2715974125083257,342128,0.5040279066950251,342125,0.2245876273983288,0.2231306059415795,11.617692494762784,0.2245876273983288,False,0.2245876273983288,0.002687247683916344,0.5879856877305463,0.7007216686850137,1.2343595722161174
2023,10.426636973164598,342128,73.51535036465594,342128,42.444481730722124,342128,30.14539266938491,342128,0.24432783146826179,340219,0.8557896331939769,342128,191.76504945046517,342128,309.506870757217,342128,145.0992444230844,342123,0.2715718580050244,342128,0.5145208398915813,342123,0.2258491527941243,0.2215262979731442,11.95913231234909,0.2258491527941243,False,0.2258491527941243,0.0014257222881208509,0.5847162855906463,0.7102311405434149,3.0098151192723774
2024,10.639834635831132,342128,73.48983856060894,342128,43.0914503944378,342128,29.65281698034674,342128,0.24659004492003053,340391,0.8635378990069446,342128,190.54082251960247,342128,311.3242246612748,342128,143.8637574021727,342123,0.27340782586309903,342128,0.5064661750725303,342123,0.2273513075819468,0.2238919078137313,12.138596154622224,0.2273513075819468,False,0.2273513075819468,-7.643249970165633e-05,0.5923690202614461,0.6881368974337029,2.389603988669516
